Search	Publication Type	Authors	Title	Source Title	Publication Year	Volume	Issue	DOI Link	Status 1	Status 2(keep, check, envir, toss)	Other notes	Other notes 2	Notes2-bp	Downloaded?	Bay.Delta	Bay.Delta2	Loc	Total.temp	Temp.scale	Temporal.scale	Yr.Range	Spatial.scale	Specific.location	Methods	Species.type	Status	Trophic.cat	Focal.species.name	Focal.common.name	Sp.Cat	Interactions	Review	Extra Notes	Spp Analysis Done
WoS	J	Lehman, PW; Boyer, G; Hall, C; Waller, S; Gehrts, K	Distribution and toxicity of a new colonial Microcystis aeruginosa bloom in the San Francisco Bay Estuary, California	HYDROBIOLOGIA	2005	541		http://dx.doi.org/10.1007/s10750-004-4670-0	check	keep				Y	both	Suisun; Delta	Suisun + Delta	2 mo	3.2	1 d	2003	7403	Bay-Delta	net sampling	producer	native	lower	Microcystis aeruginosa	Cyanobacteria	Phytoplankton	Y	N	done	Y
WoS	J	Hernes, PJ; Dyda, RY; Bergamaschi, BA	Reassessing Particulate Organic Carbon Dynamics in the Highly Disturbed San Francisco Bay Estuary	FRONTIERS IN EARTH SCIENCE	2020	8		http://dx.doi.org/10.3389/feart.2020.00185	check	toss			fw no int	Y	both	Suisun; Delta	Suisun + Delta	20 y	6.5	monthly	2011-2012	1100	Delta and Suisun Marsh	POC; biomarker analyses	producer	multiple	lower		POC	Other	N	N		N/A
WoS	J	Hall, LA; Woo, I; Marvin-DiPasquale, M; Tsao, DC; Krabbenhoft, DP; Takekawa, JY; De La Cruz, SEW	Disentangling the effects of habitat biogeochemistry, food web structure, and diet composition on mercury bioaccumulation in a wetland bird	ENVIRONMENTAL POLLUTION	2020	256		http://dx.doi.org/10.1016/j.envpol.2019.113280	check	keep				Y	SFB	SFB; Rivers	SFB + Rivers	2 y	4.2	seasonally	2005-2006	10	Petaluma River	stomach contents; sediment samples; mercury concentrations	apex	CESA	upper	Laterallus jamaicensis coturniculus	California black rail	Bird	Y	N	done	Y
WoS	J	Nobriga, ML	BIOENERGETIC MODELING EVIDENCE FOR A CONTEXT-DEPENDENT ROLE OF FOOD LIMITATION IN CALIFORNIA'S SACRAMENTO-SAN JOAQUIN DELTA	CALIFORNIA FISH AND GAME	2009	95	3	https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=47333&inline=1	check	keep	env, bioenergetics			Y	Delta	Delta	Delta	2 y	4.2	monthly	2001; 2003	50	Delta	net collections; published data; bioenergetic models	secondary consumer	non-native	upper		Bass	Fish	Y	Y	done	Y
WoS	J	Gobas, FAPC; Arnot, JA	FOOD WEB BIOACCUMULATION MODEL FOR POLYCHLORINATED BIPHENYLS IN SAN FRANCISCO BAY, CALIFORNIA, USA	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	2010	29	6	http://dx.doi.org/10.1002/etc.164	check	toss	tox		fw no int	Y	SFB	SFB	SFB					4143	SFB	total PCB concentrations	multiple	multiple	all			Multiple	N	N	presents conceptual FW diagram	N/A
WoS	J	Hui, CA; Rudnick, D; Williams, E	Mercury burdens in Chinese mitten crabs (Eriocheir sinensis) in three tributaries of southern San Francisco Bay, California, USA	ENVIRONMENTAL POLLUTION	2005	133	3	http://dx.doi.org/10.1016/j.envpol.2004.06.019	check	keep	tox			Y	SFB	Rivers	Rivers	2 weeks	2.2	weekly	2002	5	San Tomas Aquinas Creek; Guadalupe River; Coyote Creek	mercury concentrations	secondary consumer	non-native	mid	Eriocheir sinensis	Chinese mitten crab	Crustacean	Y	N	done	Y
WoS	J	Lehman, PW; Teh, SJ; Boyer, GL; Nobriga, ML; Bass, E; Hogle, C	Initial impacts of Microcystis aeruginosa blooms on the aquatic food web in the San Francisco Estuary	HYDROBIOLOGIA	2010	637	1	http://dx.doi.org/10.1007/s10750-009-9999-y	check	keep	HAB			Y	both	all	All	2 mo	3.2	biweekly	2005	400	Bay-Delta	net collections; water quality samples; toxin measurements	producer	native	lower	Microcystis aeruginosa	Cyanobacteria	Phytoplankton	Y	N	done	Y
WoS	C	Feyrer, F	Ecological segregation of native and alien larval fish assemblages in the southern Sacramento-San Joaquin Delta	EARLY LIFE HISTORY OF FISHES IN THE SAN FRANCISCO ESTUARY AND WATERSHED	2004	39		https://water.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_feyrer2004.pdf	check	keep	env, abundance			Y	Delta	Delta	Delta	6 y	5.2	daily-weekly	1990; 1991-1995	20	Southern Delta	net collections; water quality samples	secondary consumer	multiple	mid		larval fish	Fish	N	N	general interactions noted btwn native/nonnative larvae, nothing specific	N/A
WoS	J	Casazza, ML; Ricca, MA; Overton, CT; Takekawa, JY; Merritt, AM; Ackerman, JT	Dietary mercury exposure to endangered California Clapper Rails in San Francisco Bay	MARINE POLLUTION BULLETIN	2014	86	1-2	http://dx.doi.org/10.1016/j.marpolbul.2014.07.009	check	keep	tox			Y	SFB	SFB	SFB	2 y	4.2	seasonally	2008-2009; 2009-2010	40	Arrowhead, Colma Creek, Cogswell, and Laumeister	sediment samples; net collections; mercury concentrations	apex	CESA	upper	Rallus obsoletus obsoletus 	California Ridgeway's rail	Bird	Y	N	done	Y
WoS	J	Cloern, JE; Jassby, AD; Thompson, JK; Hieb, KA	A cold phase of the East Pacific triggers new phytoplankton blooms in San Francisco Bay	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2007	104	47	http://dx.doi.org/10.1073/pnas.0706151104	check	keep	env, abundance			Y	SFB	SFB	SFB	25 y	6.8	monthly	1978-2005	4143	SFB	net collections; water quality samples	mulitple	multiple	all			Multiple	Y	N	done	Y
